|title|keyphrase
4817|"안철수 ""누가 더 준비됐는지 양자 끝장토론하자""…문재인에 제안(종합)"|{'인물', '나라', '매몰', '장토', '청년 일자리', '토론', '준비', '스스로', '자수성가', '계파', '박근혜', '대한민국', '손학규', '선대위', '상속', '박주선', '내용', '안철수', '진행', '강조', '관점', '가치관', '대통령', '캠프', '요청', '폐해', '우선순위', '생각', '부의장', '회견', '판단', '서류', '구도', '전문가', '운영', '리더십', '청년', '청년 실업', '민주당 문재인', '이광빈', '해결', '종이 서류'}
4823|"안철수 ""누가 더 준비됐는지 양자 끝장토론하자""…문재인에 제안"|{'후보', '장토', '돌파', '문재인 후보', '지적', '준비', '자수성가', '후보 스스로', '박근혜', '집단지', '상속', '내용', '안철수', '사람', '진행', '강조', '역사', '가치관', '대통령', '요청', '폐해', '우선순위', '생각', '전문가', '민주당 문재인', '이광빈'}
4827|"박지원 ""대선은 안철수의 미래와 문재인의 과거 경쟁"""|{'최고', '분열', '문재인', '대한민국', '꽃다발', '과거', '박지원', '안철수 후보', '대통령', '시작', '국회의원 연석회의', '홍지인', '안철수', '골리앗'}
4828|"문재인·안철수로 갈린 호남 민심…""몰표 줄까, 나뉠까"""|{'변수', '이개호', '문재인', '그동안 경쟁자', '관계자', '국회의원', '안희정', '마무리', '볼모', '공약', '용납', '치열', '광주', '급상승', '최대한 활용', '중요', '성공', '이재명', '관심거리', '국회의원 조직력', '촛불', '비난', '선대위', '지지율', '이형석', '정치인', '단체장', '각오', '신경전', '실체', '안철수', '적폐', '내년', '추미애', '성패', '격차', '질문지', '지역민', '총결집', '유권자', '판단', '심볼', '모습', '위원장', '사욕', '포함', '총력전 돌입', '프레임', '원내', '겸손', '바탕', '공학', '텃밭', '민주당', '단일', '애증', '가능'}
4832|"警 '문재인 비방' 신연희 소환통보…""최초작성자도 수사""(종합)"|{'가짜', '카카오톡', '작성자', '문재인', '관계자', '필요', '국정원', '채팅', '횡령', '공산주의', '선거법 위반', '동영상', '사이버 수사대', '대한민국', '경찰청 사이버', '연합뉴스', '정보원', '소환', '신연희 서울', '신연희 강남구', '게시물', '서울 강남구', '신연희 구청장', '배임', '범죄 수사대', '임기창', '개설', '언론', '지난달', '유포', '민주당', '고발', '새롬'}
4850|"문재인측, 北 탄도미사일 발사에 ""무모한 도발 멈춰야"""|{'박광온', '강조', '분야', '후보', '민주당 문재인', '자행', '민주당 박광온', '차례', '박경준', '무력시위', '대통령', '고립', '논평', '김정은', '수석 대변인', '박광온 수석', '북한 동해', '비판', '지적', '미사일', '중단'}
4857|경찰, '문재인 비방 혐의' 신연희 구청장 소환통보|{'카카오톡', '동영상', '별개', '범죄 수사대', '문재인', '사이버 수사대', '대한민국', '공산주의', '경찰청 사이버', '신연희 강남구', '지난달', '민주당', '새롬 기자', '연합뉴스', '신연희', '채팅', '횡령', '신연희 구청장', '선거법 위반', '강남구'}
4869|문재인, 경남 양산 부친 묘소 참배…선대위 구성 논의|{'집중', '노무현', '마을', '경남', '기자', '선대위', '시간', '대통령', '소화', '민주당 문재인', '서울 현충원', '공식'}
4879|"안철수 ""문재인과 인물·정책 대결에서 자신 있다""(종합)"|{'박근혜 대통령', '검찰', '후보', '나라', '문재인', '매몰', '간담회', '관계자', '승리', '협력', '문재인 후보', '릴레이 인터뷰', '계파', '방송사', '의석', '손학규', '박주선', '혁명', '최근 지지율', '경쟁자', '안철수', '결집', '직격', '사람', '위원회', '이진욱', '부분', '지지율 격차', '세종 권역', '선관위', '고발', '권역 합동', '흐름', '혼란', '미래', '목소리', '운영', '개혁', '투표인', '이재림', '지난달', '여소', '극복', '리더십', '청년', '제공', '민주당 문재인', '합동 연설회', '가능', '한밭 체육관', '지지자', '위법'}
4892|"안철수 ""문재인과 인물·정책 대결에서 자신 있다"""|{'박근혜 대통령', '후보', '나라', '문재인', '매몰', '간담회', '교체', '협력', '문재인 후보', '중요', '계파', '관련', '의석', '손학규', '박주선', '경쟁자', '안철수', '직격', '사람', '위원회', '이진욱', '지지율 격차', '세종 권역', '권역 합동', '흐름', '혼란', '오후', '목소리', '운영', '과반', '이재림', '부탁', '극복', '리더십', '민주당 문재인', '합동 연설회', '가능', '한밭 체육관', '지지자'}
