	title	twitter_keyphrase
4817	"안철수 ""누가 더 준비됐는지 양자 끝장토론하자""…문재인에 제안(종합)"	{'인물', '치르는', '만들어', '민주당 문재인', '않으', '이루고', '검찰', '반대하기', '매몰', '전대통령', '발표한', '들어오는 모든', '청년 일자리', '협치', '위해서', '간소화', '비판했', '판단할', '깨닫', '재벌', '스스로', '계파', '꿈꾸는', '박근혜', '대한민국', '말씀하신', '손학규', '잊어버리', '상속', '박주선', '지적했', '기득권 민주당', '내용', '더불어 민주당', '거듭 강조했', '우리나라', '시켜', '얻겠', '국민의당 안철수', '진행', '맨몸', '제안한', '보니 대통령', '도대체', '준비된 서류', '반대해', '관점', '유착', '박수윤', '대통령', '읽거', '열린 기자회견', '가치관', '요청', '캠프', '직접', '생각한', '말씀드린 내용', '외우거', '검증', '해결하지 않으', '성공하는', '전문가', '운영', '모실', '꼽으라', '토론해야', '제대로 준비된', '라며', '강조했', '리더십', '청년', '제안했', '대통령 결선투표제'}
4823	"안철수 ""누가 더 준비됐는지 양자 끝장토론하자""…문재인에 제안"	{'만들어', '후보', '않으', '이루고', '전대통령', '돌파', '준비된 사람', '들어오는 모든', '위해서', '후보 검증', '제안했', '문재인 후보', '판단할', '깨닫', '후보 스스로', '꿈꾸는', '끝장', '박근혜', '말씀하신', '잊어버리', '상속', '지적했', '사람 성공하는', '집단지성', '내용', '더불어 민주당', '사람', '국민의당 안철수', '진행', '제안한', '맨몸', '역사', '준비된 서류', '박수윤', '기자회견', '대통령', '가치관', '요청', '생각한', '순위', '외우거', '검증', '전문가', '운영', '토론해야', '제대로 준비된', '강조했', '민주당 문재인'}
4827	"박지원 ""대선은 안철수의 미래와 문재인의 과거 경쟁"""	{'문재인', '과거', '국민의당 박지원', '본격', '경쟁', '뽑았', '대한민국', '바다로', '안철수 후보', '안철수', '골리앗', '국민의당 안철수', '꽃다발', '로부터 축하', '축하 꽃다발', '시작된', '열린', '대통령', '신념', '패권', '국회의원 연석', '강조했', '제안했'}
4828	"문재인·안철수로 갈린 호남 민심…""몰표 줄까, 나뉠까"""	{'문재인', '좁혀', '국회의원', '관계자', '영향', '바라본', '치열', '정치인', '국민의당 심볼', '추미애', '활용하고 국회의원', '예상한', '누구', '내다보기', '국민의당', '위원장', '모든', '포함한', '프레임', '성공한 만큼', '내다봤', '중요성', '로서', '이재명', '시작했', '비난', '이어지는', '지적했', '지지율', '워질', '깨워', '사욕', '오른', '민주당 국민의당', '텃밭', '최대한 활용하고', '애증', '자신', '여운', '그동안 경쟁자', '지나지', '오르는 모습', '안희정', '마무리', '가능성', '승리해', '급상승', '광주', '박차', '촛불', '국민의당 신경', '확인한', '확인했', '이형석', '더불어 민주당', '안철수', '다하겠', '불분명', '아직', '직접', '절대로 용납', '갈수록', '진검', '키워', '해야', '양보할', '지지도', '발판', '만큼', '흥행', '세우고', '야권', '예고하고', '볼모', '그대로 반영', '판단할', '측은 실체', '결정된', '패가', '가하면', '각오', '결집', '격차', '지방선거', '질문지', '유지하면', '유권자', '해달라는', '총력전 돌입', '겸손', '탈락', '바탕', '적폐 세력'}
4832	"警 '문재인 비방' 신연희 소환통보…""최초작성자도 수사""(종합)"	{'공직선거법', '문재인', '관계자', '최초 작성한', '국가정보원', '국정원', '횡령', '공산주의', '동영상', '대한민국', '분석했', '문죄인', '연합뉴스', '경찰청 사이버수사대', '더불어 민주당', '목적', '작성했', '휴대전화', '대해서', '소환', '단톡방 게시', '신연희 서울', '강남구 청장', '언론보도 형식', '카카오', '신연희 강남구', '서울 강남구', '범죄수사', '최초 작성자', '배임', '채새롬', '망하고 문재인', '밝혔', '단톡방', '지난달', '넘겨', '찾아가', '올린'}
4850	"문재인측, 北 탄도미사일 발사에 ""무모한 도발 멈춰야"""	{'대변인', '민주당 문재인', '촉구했', '가게', '심화', '논평', '비판했', '자행', '포기하지 않으', '차례', '박경준', '피하지', '지적했', '김정은', '국제사회 로부터', '돌이', '더불어 민주당', '강조해', '박광온 황광모', '민주당 박광온', '혹독', '반종빈', '미사일', '정상회담', '탄도미사일', '대통령선거', '즉시', '반복되는', '질문하는 박광온'}
4857	경찰, '문재인 비방 혐의' 신연희 구청장 소환통보	{'문재인', '신연희', '횡령', '공산주의', '공직선거법 위반', '동영상', '대한민국', '분석했', '문죄인', '연합뉴스', '경찰청 사이버수사대', '더불어 민주당', '휴대전화', '놈현', '소환', '강남구 청장', '카카오', '신연희 강남구', '범죄수사', '채새롬', '망하고 문재인', '단톡방', '지난달', '찾아가'}
4869	문재인, 경남 양산 부친 묘소 참배…선대위 구성 논의	{'노무현', '집중할', '알려졌', '보내면', '봉하마을', '틈틈이', '방문한', '대통령', '소화하며', '관련해 논의할', '국립서울현충원', '양산', '민주당 문재인', '더불어 민주당', '최평'}
4879	"안철수 ""문재인과 인물·정책 대결에서 자신 있다""(종합)"	{'박근혜 대통령', '검찰', '체육관', '문재인', '반대하기', '매몰', '실업', '해결할', '제공한', '간담', '비판했', '승리하겠', '협력', '릴레이 인터뷰', '판단할', '요즘', '충북', '계파', '다른', '해결될', '방송사', '누가', '손학규', '재림', '박주선', '빠졌', '지지율', '관련해', '산업혁명', '얼마나', '거듭 강조했', '더불어 민주당', '경쟁자', '안철수', '정해졌', '말씀드렸', '직격', '후보자', '최근 지지율', '국민의당 안철수', '이진욱', '위원회', '부분', '단호', '세종 권역', '일어날', '향후', '선관위', '박수윤', '열린', '가장', '권역 합동', '조선왕조', '기다리', '흐름', '특단', '합동 연설', '시대정신', '누구', '제대로', '해결한', '투표', '혼란', '대처할', '국민의당', '인사하고', '긴밀', '미래', '목소리', '모든', '바꾸면', '운영', '밝혔', '집권', '개혁', '오히려', '해결해야', '지난달', '극복', '리더십', '면서', '국민의당 관계자', '민주당 문재인', '지지자'}
4892	"안철수 ""문재인과 인물·정책 대결에서 자신 있다"""	{'박근혜 대통령', '체육관', '문재인', '반대하기', '매몰', '교체', '간담', '비판했', '승리하겠', '요즘', '충북', '계파', '다른', '누가', '관련', '손학규', '재림', '박주선', '빠졌', '얼마나', '더불어 민주당', '경쟁자', '거듭 강조했', '안철수', '정해졌', '말씀드렸', '직격', '후보자', '최근 지지율', '결집', '이진욱', '역사', '국민의당 안철수', '지지율 격차', '세종 권역', '일어날', '박수윤', '열린', '권역 합동', '조선왕조', '흐름', '합동 연설', '시대정신', '누구', '제대로', '위원회 구성', '혼란', '국민의당', '인사하고', '소야', '오후', '긴밀', '목소리', '모든', '바꾸면', '운영', '밝혔', '오히려', '극복', '리더십', '민주당 문재인', '지지자'}
5001	"문재인 ""문자폭탄 상처 깊은 유감…앙금 해소하겠다""(종합)"	{'참석', '폭탄', '만들어', '후보', '촬영', '마음', '이재명 성남시장', '앙금', '복귀', '이상헌', '유감', '혜림', '정춘숙', '박원순', '접촉', '해주시', '뛰어다니느', '율과 득표율', '치열', '하나로', '면담 요청', '반발', '지적하고 소녀', '인터뷰', '이재명', '넓혀', '책임져', '설명하겠', '세력 후보', '국민의당 후보', '생각하며', '합하기', '지지자 가운데', '보내 의원님', '말씀드린', '되어야', '지역구', '민주당 후보', '그동안', '더불어 민주당', '끝났', '적폐 청산', '안철수', '격렬', '최대한 높이는', '몰랐', '국민의당 안철수', '입었', '언급', '우리 후보', '친박 청산', '해달라고', '캠프', '지나간', '돌아갔', '형성한', '관련해서', '위안부', '앞장서 해소하겠', '생각한', '김부겸', '치렀', '대한민국 건설', '안희정 충남지사', '소녀', '밝혔', '제대로 몰랐', '현역', '개혁', '적폐 세력', '오히려', '개입', '강조했', '민주당', '일대일', '준비한 조직', '모색하겠', '선거운동', '민주당 문재인', '대표하는', '청산 후보', '총영사'}
5027	"문재인-안철수측 ""인정사정 볼것 없다""…프레임 전쟁 나서나"	{'왜곡', '취업 특혜', '인식하고 집중', '약점', '담긴', '상황', '나아갈', '출연해', '대응하는', '당분간', '시나리오 가능성', '비판했', '치열', '박지원', '최경환', '직접 나서는', '김현정', '박근혜', '염두', '다른 목소리', '강조하려', '대응할', '박경준', '말씀드린', '지적했', '총괄 본부장', '연합뉴스', '시도하는', '세력', '부적절', '더욱', '역공', '더불어 민주당', '시도하고', '더욱 강조할', '국민의당 안철수', '주장하는', '열망', '언급', '펼쳐지', '모두', '시작된', '원하는', '잡힌', '대통령', '씌우려', '떠오르', '송영길', '청산', '트랙', '대응하면', '그동안 얘기했', '그대로 받아들인', '무엇', '잡으', '뉴스쇼', '핵심 관계자', '직후', '미래', '강화하는', '밝혔', '바른', '발언', '오히려', '라디오', '프레임', '민주당 문재인', '초점', '반박', '필요성'}
5032	"문재인 ""문자폭탄 상처 깊은 유감…앙금 해소하겠다"""	{'엎드려 큰절', '폭탄', '만들어', '후보', '근간', '마음', '앙금', '이상헌', '정권', '상처', '안희정', '혜림', '박원순', '해주시', '뛰어다니느', '하나로', '절박', '인터뷰', '시너지', '평가했', '이재명', '넓혀', '구조', '생각하며', '지지자 가운데', '보내 의원님', '최성 후보', '되어야', '지역구', '득표율', '그동안', '지지율', '더불어 민주당', '끝났', '최대한 높이는', '몰랐', '적폐', '언급', '대해서', '방송', '캠프', '지나간', '선거인단', '양념', '사과한', '책임져 달라', '생각한', '앞장서 해소하겠', '원동력', '김부겸', '치렀', '대한민국 건설', '밝혔', '개혁', '제대로 몰랐', '강조했', '준비한 조직', '보면', '극복', '선거운동', '민주당 문재인'}
5136	"문재인 ""역대 대통령 공과, 역사이자 뛰어넘어야 할 과제"""	{'굴곡', '나라', '만나', '이상헌', '참배 하면', '반칙', '부정부패', '혜림', '김대중', '사들이', '뛰어넘', '대한민국', '묘역 참배', '국립현충원', '관련', '차례', '정의롭', '사유화', '참배 방명록', '더불어 민주당', '민주당 대통령', '학도의용군', '언급', '대해서', '모두', '성장', '희생하고 헌신', '보훈', '대통령 묘역', '제대로', '김영삼', '특권', '권력', '설명했', '박정희', '이승만', '밝혔', '강조했', '대통령 모두', '민주당 문재인', '현충원'}
5216	'대권 재수' 문재인, 5년 前과 달라진 점은 뭘까	{'창조', '표방', '그림', '열린 더불어', '사법고시', '인터뷰', '비롯한', '관련한', '달라진', '출마', '경제성장', '해소하려', '구멍', '캠프', '기자회견', '위원장', '종편', '높였', '로드맵', '이야기', '실내 체육관', '혼신', '대하는', '강해진', '대연정', '국민성', '비판하며 박근혜', '지지자', '만들어', '약점', '선출', '교체', '해결할', '협력', '따른', '포용', '잡았', '강조하는', '대통령 후보자', '꽃다발', '대통령', '미래 연구원', '발전될', '관련해서', '탄핵', '혜택', '여성', '오후', '달라졌', '목소리', '핵심 관계자', '극복', '해소한', '면모', '펴낸', '넓어졌', '세우겠', '분배', '더불어 민주당', '유지될', '다하겠', '후보자 영남권', '제시한', '대한민국 위원회', '갑자기', '김광', '변화', '불평등', '수식어', '강조했', '민주당 문재인', '늘려', '화룡', '동맹', '기필코', '제시하는', '묻혀', '모셔', '추락', '바꾸겠', '절박', '세우는', '무너진', '겪으', '박근혜', '대한민국', '알려지', '운명', '박경준', '각오', '준비된', '농단', '인사하고', '밝힌', '부족함', '설명했', '지난번', '합격해 스스로'}
5243	문재인 후보, 현충원 참배로 첫 본선행보…봉하마을 방문	{'전해졌', '박정희', '노무현', '알려졌', '이승만', '국립현충원', '봉하마을', '대통령', '시작한', '권양숙', '함께할', '예방한', '민주당 문재인', '더불어 민주당', '참석해', '김대중', '열리는 민주당', '현충원'}
5288	"홍준표측 ""문재인 후보, 의혹 해명하고 정책으로 겨뤄야"""	{'역시 대한민국', '이슬기 기자', '대변인', '문재인', '겨뤄', '촉구했', '홍준표 캠프', '논평', '비서실', '측은', '일하면', '자유', '승리', '본격', '홍준표 이슬기', '펼쳐졌', '평가했', '잘살', '대한민국', '지켜보는', '받아', '세력', '더불어 민주당', '적폐 청산', '직접', '제대로', '스스로 적폐', '밝혔', '덧붙였', '민주당 문재인'}
5290	문재인-안철수 '어게인 2012'…5년만에 대권 놓고 재대결	{'한솥', '전당대회 개최', '강원', '민주당 문재인', '돌입', '혁신 전당대회', '선언하고', '장충 체육관', '상황', '교체 가능성', '가능성', '승리해', '급상승', '국민', '경쟁자 관계', '취재', '지난해', '다른', '흔드는 문재인', '충청', '올라섰', '거둔', '패배', '티켓', '이지은', '면하기 어려', '싸울', '차례', '만들어진 새정치', '단독', '지지율 흐름', '형국', '새누리당 박근혜', '나와 이듬해', '요구하다 받아들여', '마지막 순간', '더불어 민주당', '직면', '리턴', '국민의당 안철수', '형성하고', '출마', '대통령 후보자', '조기', '발표', '통과해 마침내', '스카이', '앞두고', '무소속 안철수', '드러난 지지율', '열린', '무소속', '이듬해 국민의당', '돌아갔', '유력', '달개비', '인사하고', '진검', '구도', '최종', '외나무다리', '여론조사', '나서게', '건곤', '확정', '관계', '후보자 수도권', '웃음', '격돌', '양강', '장외', '권역', '지지자'}
5303	문재인의 집권구상 키워드는 '적폐청산 통한 국민통합'	{'문재인', '포인트', '불공정', '예상된', '초월', '시스템', '정치철학', '한반도', '적폐 청산', '언급', '북핵', '스카이', '건설하겠', '표명', '느끼', '위안부', '서울 구로구', '귀결', '안희정 충남지사', '활짝', '프레임', '얽힌', '마침', '지지자', '끝나야', '내내 치열', '이상헌', '핵심', '부정부패', '미래 개혁', '끌어안', '지역감정', '별개', '기울일', '뛰어넘', '고양시장', '무차별', '포용', '대통령 파면', '절차', '따라 청산', '대통령 후보자', '여느', '스펙트럼', '압승', '열린', '관련해서', '몰상식', '좌우', '다음', '준희', '이분법', '밝혔', '난마', '갇혀', '이재명 성남시장', '세우겠', '희생', '점철', '통과해야', '가늠', '더불어 민주당', '그리는', '약속했', '민주공화국', '꼽히는', '완성하기 위해서', '미사일방어 계획', '도움', '생각', '판단', '불평등', '서울', '강조했', '민주당 문재인', '꼽았', '진단했', '일자리', '박근혜 대통령', '강원', '기필코', '나누는', '갈렸', '무너진', '바꾸자', '대한민국', '질서', '보내야', '수도권 강원', '항쟁', '농단', '원인', '지금껏', '인사하고', '강조한', '오후 서울', '후보자 수도권', '쓰레기통'}
5315	[표] 문답으로 알아본 문재인	{'민주당 문재인', '더불어 민주당', '소개한'}
5329	"유승민측 ""문재인 후보 선출 축하…이제 국민통합 나서야"""	{'촉구했', '캠프 지상욱', '나가야', '여의도', '측은', '진정 분열', '살리는 진정', '갈등', '나서기', '바로잡', '나서야', '자극', '지적했', '끝내려', '수석 대변인', '김도훈', '더불어 민주당', '새누리당', '민주당 대통령', '김동현', '유승민 캠프', '생각', '나오는 진정', '유승민', '노무현', '세계관', '지상욱 수석', '시작한', '민주당 문재인', '축하한'}
